jaar|dekking_7000|dekking_11300|dekking_15700
1950|39.23|62.47|86.25
1951|39.18|62.42|86.2
1952|39.08|62.32|86.1
1953|38.93|62.17|85.95
1954|38.73|61.97|85.75
1955|38.48|61.72|85.5
1956|38.18|61.42|85.2
1957|37.83|61.07|84.85
1958|37.2|60.05|83.43
1959|37.2|60.05|83.43
1960|36.78|59.37|82.48
1961|35.69|57.62|80.05
1962|34.78|56.14|78.0
1963|33.31|53.77|74.71
1964|31.51|50.87|70.67
1965|29.82|48.13|66.87
1966|28.02|45.23|62.85
1967|26.34|42.52|59.08
1968|24.53|39.59|55.01
1969|22.77|36.76|51.07
1970|21.07|34.01|47.25
1971|19.54|31.55|43.83
1972|18.22|29.41|40.86
1973|16.7|26.96|37.46
1974|15.19|24.52|34.07
1975|14.08|22.73|31.58
1976|13.05|21.07|29.27
1977|11.93|19.25|26.75
1978|10.94|17.66|24.53
1979|10.09|16.29|22.64
1980|9.39|15.15|21.05
1981|8.7|14.05|19.52
1982|8.09|13.06|18.15
1983|7.6|12.27|17.04
1984|7.22|11.65|16.19
1985|6.85|11.06|15.36
1986|6.46|10.42|14.48
1987|6.19|10.0|13.89
1988|5.93|9.58|13.31
1989|5.59|9.02|12.53
1990|5.34|8.62|11.98
1991|5.2|8.4|11.67
1992|4.89|7.9|10.98
1993|4.76|7.69|10.68
1994|4.78|7.72|10.73
1995|4.58|7.39|10.27
1996|4.28|6.9|9.59
1997|3.7|5.98|8.31
1998|4.24|6.85|9.51
1999|4.18|6.74|9.37
2000|3.94|6.36|8.84
2001|3.53|5.7|7.92
2002|2.9|4.68|6.5
2003|2.43|3.92|5.45
2004|1.92|3.1|4.31
2005|1.39|2.25|3.12
