geboortejaar,premiepercentage
1950,0.0
1951,0.0
1952,0.0
1953,0.0
1954,0.0
1955,0.0
1956,0.55
1957,3.99
1958,3.99
1959,3.99
1960,3.99
1961,4.2
1962,4.2
1963,4.2
1964,4.2
1965,4.2
1966,3.48
1967,3.48
1968,3.48
1969,3.48
1970,3.48
1971,3.04
1972,3.04
1973,3.04
1974,3.04
1975,3.04
1976,2.61
1977,2.61
1978,2.61
1979,2.61
1980,2.61
1981,2.34
1982,2.34
1983,2.34
1985,2.34
1985,2.34
1986,2.34
1987,2.34
1988,2.34
1989,2.34
1990,2.34
1991,1.96
1992,1.96
1993,1.96
1994,1.96
1995,1.96
1996,1.96
1997,1.96
1998,1.96
1999,1.96
2000,1.96
2001,1.96
2002,1.96
2003,1.96
2004,1.96
2005,1.96
